2025-11-12T08:33:53.625Z | e2e_orders_ui_crud | STARTED | Full CRUD cycle testing
2025-11-12T08:33:53.639Z | e2e_orders_ui_crud | STARTED | Full CRUD cycle testing
2025-11-12T08:33:53.639Z | e2e_orders_ui_crud | STARTED | Full CRUD cycle testing
2025-11-12T08:33:53.658Z | e2e_orders_ui_crud | STARTED | Full CRUD cycle testing
2025-11-12T08:33:53.688Z | e2e_orders_ui_crud | STARTED | Full CRUD cycle testing
2025-11-12T08:33:53.688Z | e2e_orders_ui_crud | STARTED | Full CRUD cycle testing
2025-11-12T08:33:54.031Z | e2e_orders_ui_crud | COMPLETED | Test data cleanup
2025-11-12T08:33:54.117Z | e2e_orders_ui_crud | COMPLETED | Full CRUD cycle testing
2025-11-12T08:33:54.397Z | e2e_orders_ui_crud | ATTEMPTED | Order creation via UI
2025-11-12T08:33:54.449Z | e2e_orders_ui_crud | ATTEMPTED | Order editing via UI
2025-11-12T08:33:54.472Z | e2e_orders_ui_crud | ATTEMPTED | Order deletion via UI
2025-11-12T08:33:54.485Z | e2e_orders_ui_crud | COMPLETED | Full CRUD cycle testing
2025-11-12T08:33:54.535Z | e2e_orders_ui_crud | COMPLETED | Full CRUD cycle testing
2025-11-12T08:33:54.553Z | e2e_orders_ui_crud | COMPLETED | Full CRUD cycle testing
2025-11-12T08:33:59.621Z | e2e_orders_ui_crud | COMPLETED | Full CRUD cycle testing
2025-11-12T08:33:59.621Z | e2e_orders_ui_crud | COMPLETED | Full CRUD cycle testing
2025-11-12T08:45:18.126Z | e2e_orders_ui_crud | STARTED | Full CRUD cycle testing
2025-11-12T08:45:18.142Z | e2e_orders_ui_crud | STARTED | Full CRUD cycle testing
2025-11-12T08:45:18.143Z | e2e_orders_ui_crud | STARTED | Full CRUD cycle testing
2025-11-12T08:45:18.157Z | e2e_orders_ui_crud | STARTED | Full CRUD cycle testing
2025-11-12T08:45:18.157Z | e2e_orders_ui_crud | STARTED | Full CRUD cycle testing
2025-11-12T08:45:18.158Z | e2e_orders_ui_crud | STARTED | Full CRUD cycle testing
2025-11-12T08:45:18.484Z | e2e_orders_ui_crud | COMPLETED | Test data cleanup
2025-11-12T08:45:18.574Z | e2e_orders_ui_crud | ATTEMPTED | Order editing via UI
2025-11-12T08:45:18.574Z | e2e_orders_ui_crud | COMPLETED | Full CRUD cycle testing
2025-11-12T08:45:18.663Z | e2e_orders_ui_crud | COMPLETED | Full CRUD cycle testing
2025-11-12T08:45:18.700Z | e2e_orders_ui_crud | ATTEMPTED | Order creation via UI
2025-11-12T08:45:18.720Z | e2e_orders_ui_crud | ATTEMPTED | Order deletion via UI
2025-11-12T08:45:18.777Z | e2e_orders_ui_crud | COMPLETED | Full CRUD cycle testing
2025-11-12T08:45:18.779Z | e2e_orders_ui_crud | COMPLETED | Full CRUD cycle testing
2025-11-12T08:45:23.888Z | e2e_orders_ui_crud | COMPLETED | Full CRUD cycle testing
2025-11-12T08:45:23.978Z | e2e_orders_ui_crud | COMPLETED | Full CRUD cycle testing
2025-11-12T08:47:28.495Z | e2e_orders_ui_crud | STARTED | Full CRUD cycle testing
2025-11-12T08:47:28.496Z | e2e_orders_ui_crud | STARTED | Full CRUD cycle testing
2025-11-12T08:47:28.509Z | e2e_orders_ui_crud | STARTED | Full CRUD cycle testing
2025-11-12T08:47:28.935Z | e2e_orders_ui_crud | ATTEMPTED | Order editing via UI
2025-11-12T08:47:29.041Z | e2e_orders_ui_crud | COMPLETED | Full CRUD cycle testing
2025-11-12T08:47:29.063Z | e2e_orders_ui_crud | STARTED | Full CRUD cycle testing
2025-11-12T08:47:29.911Z | e2e_orders_ui_crud | ATTEMPTED | Order deletion via UI
2025-11-12T08:47:30.040Z | e2e_orders_ui_crud | COMPLETED | Full CRUD cycle testing
2025-11-12T08:47:30.863Z | e2e_orders_ui_crud | STARTED | Full CRUD cycle testing
2025-11-12T08:47:30.925Z | e2e_orders_ui_crud | STARTED | Full CRUD cycle testing
2025-11-12T08:47:31.184Z | e2e_orders_ui_crud | COMPLETED | Test data cleanup
2025-11-12T08:47:31.283Z | e2e_orders_ui_crud | COMPLETED | Full CRUD cycle testing
2025-11-12T08:47:31.447Z | e2e_orders_ui_crud | PASSED | Orders list display verification
2025-11-12T08:47:31.556Z | e2e_orders_ui_crud | COMPLETED | Full CRUD cycle testing
2025-11-12T08:47:35.001Z | e2e_orders_ui_crud | COMPLETED | Full CRUD cycle testing
2025-11-12T08:47:59.463Z | e2e_orders_ui_crud | COMPLETED | Full CRUD cycle testing
2025-11-12T09:10:56.279Z | e2e_orders_ui_crud | STARTED | Full CRUD cycle testing
2025-11-12T09:10:56.279Z | e2e_orders_ui_crud | STARTED | Full CRUD cycle testing
2025-11-12T09:10:56.280Z | e2e_orders_ui_crud | STARTED | Full CRUD cycle testing
2025-11-12T09:10:56.282Z | e2e_orders_ui_crud | STARTED | Full CRUD cycle testing
2025-11-12T09:10:56.282Z | e2e_orders_ui_crud | STARTED | Full CRUD cycle testing
2025-11-12T09:10:56.304Z | e2e_orders_ui_crud | STARTED | Full CRUD cycle testing
