timestamp,role,model_requested,model_used,ttfb_ms,ttce_ms,http_code,success
1759565329000,chef,auto,gpt-4o-mini,245,1580,200,true
1759565331000,chef,gpt-4o-mini,gpt-4o-mini,198,1420,200,true
1759565333000,chef,gpt-5,gpt-5,890,4200,200,true
1759565335000,accountant,auto,gemini-1.5-pro,320,2100,200,true
1759565337000,accountant,gemini-1.5-pro,gemini-1.5-pro,410,2450,200,true
1759565339000,accountant,gpt-4o,gpt-4o,550,3100,200,true
1759565341000,analyst,auto,sonar,680,5200,200,true
1759565343000,analyst,sonar,sonar,720,5500,200,true
1759565345000,analyst,auto,gemini-1.5-flash,180,1200,200,true
1759565347000,universal,auto,gpt-4o-mini,150,850,200,true
1759565349000,universal,gpt-4-turbo,gpt-4-turbo,620,3400,200,true
1759565351000,universal,o3-mini,o3-mini,210,1100,200,true
